code	english	definition	translation
5353	monitoring system	"A coordinated body of sensory and communications devices that observes, detects or records the outputs or operations of any natural or artificial system in order to construct a history or future of events."	monitorinq sistemi
5354	monitoring technique	"Techniques employed in the process of checking, observing and measuring events, processes or physical, chemical, biological and environmental phenomena."	monitorinq üsulları
5357	monopoly	"The market condition where a particular commodity or service has only one seller, either because the seller has exclusive possession of an essential input or because large economies of scale inhibit the entrance of a competitor into the market."	"inhisar, monopoliya"
5360	monument	"An object, especially large and made of stone, built to remember and show respect to a person or group of people, or a special place made for this purpose."	abidə
5362	moor	"A tract of unenclosed waste ground, usually covered with heather, coarse grass, bracken, and moss."	bataqlıq ərazi
5364	moral persuasion	Appealing to the ethical principles or beliefs of an adversary or the public to convince the adversary to change behavior or attitudes.	əxlaqi inam
5369	morphology	The branch of biology concerned with the form and structure of organisms.	morfologiya
5371	mortality	The number of deaths occurring in a given population for a given period of time.	ölüm səviyyəsi
5377	moss	"Any plant of the class Bryophyta, occurring in nearly all damp habitats."	mamır
5384	motorcycle		motosikl
5388	motor fuel	Any gaseous or liquid flammable fuel that burns in an internal combustion engine.	motor yanacağı
5390	motor vehicle	"A road vehicle driven by a motor or engine, especially an internal-combustion engine."	avtomobil
5391	motor vehicle emission	"The formation and discharge of gaseous and particulate pollutants into the environment chiefly from car, truck and bus exhaust."	avtomobilin istifadə olunmuş qazları
5392	motor vehicle exhaust gas	Gases vented to the atmosphere by internal-combustion-engine driven vehicles.	avtomobilin istifadə olunmuş qazları
5393	motor vehicle industry	No definition needed.	avtomobil sənayesi
5395	motorway	"A wide road built for fast moving traffic travelling long distances, with a limited number of points at which drivers can enter and leave it."	şosse
5401	mountain	"A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area. Mountains are an important source of water, energy, minerals, forest and agricultural products, and recreation. They are storehouses of biological diversity and endangered species and an essential part of the global ecosystem. About 10% of the world's population depend on mountain resources and nearly half of these people are affected by the degradation of mountain watershed areas."	dağ
5403	mountain ecosystem	"Ecosystems found on high-mountains at low latitudes. Mountain ecosystems are very vulnerable. They are increasingly sensitive to soil erosion, landslide and rapid loss of habitat and genetic diversity. Widespread poverty and an increase in the numbers of mountain inhabitants lead to deforestation, cultivation of marginal lands, excessive livestock grazing, loss of biomass cover and other forms of environmental degradation. Because little is known about mountain ecosystems, Agenda 21 has proposed the establishment of a global mountain database. This is essential for the launch of programmes that would contribute to the sustainable development of mountain ecosystems. The proposals also focus on promoting watershed development and alternative employment for people whose livelihoods are linked to practices that degrade mountains."	dağ ekosistemi
5404	mountaineering	No definition needed.	alpinizm
5405	mountainous area	"Area characterized by conspicuous peaks, ridges, or mountain ranges."	dağ regionu
5409	mountain range	"A single, large mass consisting of a succession of mountains or narrowly spaced mountain ridges, with or without peaks, closely related in position, direction, formation, and age."	dağ silsiləsi
5412	mowing	"The cutting down of grass, crops or grain with a scythe or a mechanical device."	ot biçimi
5415	mud flat	"A relatively level area of fine silt along a shore (as in a sheltered estuary) or around an island, alternately covered and uncovered by the tide, or covered by shallow water."	lilli sahə
5417	mud (sediment)	"A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments."	lil (çöküntü)
